"","bank_group","variable","statistic","value"
"1","custody","leverage","mean","     11.8708354"
"2","custody","leverage","sd","      1.5442282"
"3","custody","leverage","median","     11.6646055"
"4","custody","leverage","min","      9.1853621"
"5","custody","leverage","max","     16.9484338"
"6","custody","var","gaussian","     16.4829645"
"7","custody","var","gaussian","     23.6667276"
"8","custody","var","gaussian","      9.3920000"
"9","custody","var","gaussian","      1.6000000"
"10","custody","var","gaussian","    155.0000000"
"11","custody","total","assets"," 853067.7342657"
"12","custody","total","assets"," 730464.1642833"
"13","custody","total","assets"," 400740.0000000"
"14","custody","total","assets"," 228332.0000000"
"15","custody","total","assets","2062926.0000000"
"16","custody","total","debt"," 117402.4475524"
"17","custody","total","debt"," 126540.6241959"
"18","custody","total","debt","  43190.0000000"
"19","custody","total","debt","  13034.0000000"
"20","custody","total","debt"," 408422.0000000"
"21","custody","common","equity","  74789.0629371"
"22","custody","common","equity","  65667.0509779"
"23","custody","common","equity","  36961.0000000"
"24","custody","common","equity","  18023.0000000"
"25","custody","common","equity"," 181578.0000000"
"26","custody","repo","mean","  28116.5441176"
"27","custody","repo","sd","  37498.3861033"
"28","custody","repo","median","  11759.0000000"
"29","custody","repo","min","    206.0000000"
"30","custody","repo","max"," 202260.0000000"
"31","custody","total","liab"," 768535.3286713"
"32","custody","total","liab"," 656194.7599715"
"33","custody","total","liab"," 361266.0000000"
"34","custody","total","liab"," 203294.0000000"
"35","custody","total","liab","1879914.0000000"
"36","custody","lcr","mean","    113.6638655"
"37","custody","lcr","sd","      8.3150642"
"38","custody","lcr","median","    112.0000000"
"39","custody","lcr","min","    100.0000000"
"40","custody","lcr","max","    134.0000000"
"41","custody","cet1","mean","     11.8372388"
"42","custody","cet1","sd","      0.9121580"
"43","custody","cet1","median","     11.9200000"
"44","custody","cet1","min","     10.0000000"
"45","custody","cet1","max","     14.3000000"
"46","custody","payouts","ratio","     69.4971127"
"47","custody","payouts","ratio","    416.3767462"
"48","custody","payouts","ratio","     31.6050000"
"49","custody","payouts","ratio","      7.2400000"
"50","custody","payouts","ratio","   4990.4800000"
"51","custody","slr","mean","      6.6459200"
"52","custody","slr","sd","      0.8599326"
"53","custody","slr","median","      6.6000000"
"54","custody","slr","min","      5.2000000"
"55","custody","slr","max","      9.5100000"
"56","market","leverage","mean","     12.9627363"
"57","market","leverage","sd","      1.3333746"
"58","market","leverage","median","     12.4750448"
"59","market","leverage","min","     11.2470113"
"60","market","leverage","max","     16.5491858"
"61","market","var","gaussian","     90.4863294"
"62","market","var","gaussian","     31.0263976"
"63","market","var","gaussian","     77.7875496"
"64","market","var","gaussian","     53.7441252"
"65","market","var","gaussian","    181.0328427"
"66","market","total","assets","1105229.7340426"
"67","market","total","assets"," 290546.5199891"
"68","market","total","assets"," 971072.5000000"
"69","market","total","assets"," 787465.0000000"
"70","market","total","assets","1807982.0000000"
"71","market","total","debt"," 380677.1914894"
"72","market","total","debt"," 118317.4552022"
"73","market","total","debt"," 342626.0000000"
"74","market","total","debt"," 238104.0000000"
"75","market","total","debt"," 672863.0000000"
"76","market","common","equity","  84185.7978723"
"77","market","common","equity","  14076.6633980"
"78","market","common","equity","  79022.0000000"
"79","market","common","equity","  63851.0000000"
"80","market","common","equity"," 109249.0000000"
"81","market","repo","mean"," 108490.7872340"
"82","market","repo","sd","  56404.5105258"
"83","market","repo","median","  85898.0000000"
"84","market","repo","min","  49300.0000000"
"85","market","repo","max"," 274380.0000000"
"86","market","total","liab","1010795.7021277"
"87","market","total","liab"," 276241.5846921"
"88","market","total","liab"," 884682.5000000"
"89","market","total","liab"," 711281.0000000"
"90","market","total","liab","1683580.0000000"
"91","market","lcr","mean","    131.0909091"
"92","market","lcr","sd","      6.3043996"
"93","market","lcr","median","    129.5000000"
"94","market","lcr","min","    121.0000000"
"95","market","lcr","max","    154.0000000"
"96","market","cet1","mean","     14.5691489"
"97","market","cet1","sd","      1.7077324"
"98","market","cet1","median","     14.8500000"
"99","market","cet1","min","     10.7000000"
"100","market","cet1","max","     17.7000000"
"101","market","payouts","ratio","     31.0308602"
"102","market","payouts","ratio","     27.1137832"
"103","market","payouts","ratio","     25.9900000"
"104","market","payouts","ratio","      0.0000000"
"105","market","payouts","ratio","    228.4300000"
"106","market","slr","mean","      6.6795699"
"107","market","slr","sd","      1.1583871"
"108","market","slr","median","      6.4000000"
"109","market","slr","min","      4.0000000"
"110","market","slr","max","      9.0000000"
"111","universal","leverage","mean","     11.5365319"
"112","universal","leverage","sd","      1.7280642"
"113","universal","leverage","median","     11.8253024"
"114","universal","leverage","min","      8.4392046"
"115","universal","leverage","max","     15.6274060"
"116","universal","var","gaussian","     88.4644780"
"117","universal","var","gaussian","     34.9014357"
"118","universal","var","gaussian","     81.0000000"
"119","universal","var","gaussian","     35.3579771"
"120","universal","var","gaussian","    245.0000000"
"121","universal","total","assets","2673212.9436620"
"122","universal","total","assets"," 684300.8157647"
"123","universal","total","assets","2452356.0000000"
"124","universal","total","assets","1731210.0000000"
"125","universal","total","assets","4560205.0000000"
"126","universal","total","debt"," 544347.0845070"
"127","universal","total","debt"," 126429.3836603"
"128","universal","total","debt"," 511839.5000000"
"129","universal","total","debt"," 368850.0000000"
"130","universal","total","debt","1080435.0000000"
"131","universal","common","equity"," 230405.8169014"
"132","universal","common","equity","  37761.5382560"
"133","universal","common","equity"," 231294.5000000"
"134","universal","common","equity"," 173642.0000000"
"135","universal","common","equity"," 342393.0000000"
"136","universal","repo","mean"," 227448.2464789"
"137","universal","repo","sd","  80355.3732142"
"138","universal","repo","median"," 200401.0000000"
"139","universal","repo","min"," 141821.0000000"
"140","universal","repo","max"," 595340.0000000"
"141","universal","total","liab","2419895.8943662"
"142","universal","total","liab"," 650708.2973570"
"143","universal","total","liab","2222936.5000000"
"144","universal","total","liab","1508118.0000000"
"145","universal","total","liab","4199993.0000000"
"146","universal","lcr","mean","    116.1351351"
"147","universal","lcr","sd","      3.8647274"
"148","universal","lcr","median","    115.0000000"
"149","universal","lcr","min","    110.0000000"
"150","universal","lcr","max","    126.0000000"
"151","universal","cet1","mean","     12.4813475"
"152","universal","cet1","sd","      1.2426735"
"153","universal","cet1","median","     12.2300000"
"154","universal","cet1","min","      9.8000000"
"155","universal","cet1","max","     15.8000000"
"156","universal","payouts","ratio","     27.1971942"
"157","universal","payouts","ratio","     15.8226588"
"158","universal","payouts","ratio","     26.4000000"
"159","universal","payouts","ratio","      0.6800000"
"160","universal","payouts","ratio","    135.0600000"
"161","universal","slr","mean","      6.6993431"
"162","universal","slr","sd","      1.0067472"
"163","universal","slr","median","      6.6000000"
"164","universal","slr","min","      5.0000000"
"165","universal","slr","max","      9.1000000"
