model_name,n_obs,r_squared,n_banks,b_cet1_lag1,b_const,b_covid_dummy,b_int_covid_unitvar,b_int_unitvar_cet1,b_int_unitvar_group_h,b_int_unitvar_group_m,b_int_unitvar_lcr,b_lcr_lag1,b_leverage_growth,b_log_unit_var,b_log_var_99_level,p_cet1_lag1,p_const,p_covid_dummy,p_int_covid_unitvar,p_int_unitvar_cet1,p_int_unitvar_group_h,p_int_unitvar_group_m,p_int_unitvar_lcr,p_lcr_lag1,p_leverage_growth,p_log_unit_var,p_log_var_99_level,se_cet1_lag1,se_const,se_covid_dummy,se_int_covid_unitvar,se_int_unitvar_cet1,se_int_unitvar_group_h,se_int_unitvar_group_m,se_int_unitvar_lcr,se_lcr_lag1,se_leverage_growth,se_log_unit_var,se_log_var_99_level,t_cet1_lag1,t_const,t_covid_dummy,t_int_covid_unitvar,t_int_unitvar_cet1,t_int_unitvar_group_h,t_int_unitvar_group_m,t_int_unitvar_lcr,t_lcr_lag1,t_leverage_growth,t_log_unit_var,t_log_var_99_level
A1_AssetGrowth_Pooled,368,0.7897920011710766,,,0.5718029513624194,,,,,,,,0.8530487432326839,,,,0.00014291435126492915,,,,,,,,6.316250403544081e-144,,,,0.1503530188491856,,,,,,,,0.03339458192963647,,,,3.803069308079388,,,,,,,,25.54452530743121,,
A2_AssetGrowth_BankFE,368,0.7972971405640876,8.0,,,,,,,,,,0.855332472432291,,,,,,,,,,,,0.0,,,,,,,,,,,,0.029617877295336527,,,,,,,,,,,,28.878925518641648,,
A3_AssetGrowth_TimeFE,368,0.7935424137588275,8.0,,,,,,,,,,0.7966357260576034,,,,,,,,,,,,0.0,,,,,,,,,,,,0.034657075680741334,,,,,,,,,,,,22.986236155530214,,
A4_AssetGrowth_BankTimeFE,368,0.7939646961749792,8.0,,,,,,,,,,0.8000348686585629,,,,,,,,,,,,0.0,,,,,,,,,,,,0.03277835245580567,,,,,,,,,,,,24.407415526367053,,
M1_Leverage_UnitVaR,376,0.016017969840186885,8.0,,,,,,,,,,,-0.040237776740176555,,,,,,,,,,,,0.33826094024347864,,,,,,,,,,,,0.04196421900562351,,,,,,,,,,,,-0.9588591827429077,
M6_Leverage_GroupDummy_Interactions,329,0.037320109554987324,7.0,,,,,,-0.21985711741141675,-0.06316455459314577,,,,0.025039959698574532,,,,,,,0.0014404091024142751,0.2999591430323929,,,,0.5696417745118012,,,,,,,0.06839533867661741,0.06083993228490024,,,,0.04399386849291055,,,,,,,-3.2145044043269015,-1.038208824713345,,,,0.5691693082778031,
M2_Assets_VaR,376,0.06985118224798892,8.0,,,,,,,,,,,,0.12918546903025124,,,,,,,,,,,,0.09103288742843518,,,,,,,,,,,,0.07624147912281759,,,,,,,,,,,,1.6944250100676306
M3_Equity_VaR,376,0.022302747286408353,8.0,,,,,,,,,,,,0.044978498659698975,,,,,,,,,,,,0.336986918085308,,,,,,,,,,,,0.046784651732582734,,,,,,,,,,,,0.9613943247198337
M4A_Leverage_LCR,242,0.08476358846665233,7.0,,,,,,,,0.47894050995177834,4.218636707450034,,-0.591933457793647,,,,,,,,,1.5623769181516423e-05,2.2833508709574346e-05,,1.4126308500728157e-07,,,,,,,,,0.10853067416256211,0.9758099659733802,,0.10899428335330281,,,,,,,,,4.412950657934731,4.323215435950074,,-5.430867010473444,
M4B_Leverage_CET1,360,0.04409166526882391,8.0,-3.8454517603423133,,,,-0.5450648384357347,,,,,,0.04013975168256951,,0.8453488262370779,,,,0.7622219965264567,,,,,,0.8607024656783615,,19.69991278776991,,,,1.8000766823616718,,,,,,0.22857372504451326,,-0.1952014611318302,,,,-0.30280089941536176,,,,,,0.17560964924884762,
M4C_Leverage_LCR_CET1,242,0.0887801525398283,7.0,7.34412234376537,,,,0.7634849766311922,,,0.5222236246792015,4.641483881627557,,-0.7433376091920041,,0.6856995235847978,,,,0.6329126242575263,,,3.9910848026458723e-07,1.884742792945815e-07,,0.0007445251156337207,,18.124220809315666,,,,1.5963485838805493,,,0.10003752696954629,0.8636784931519322,,0.21744190758968943,,0.405210376822962,,,,0.47826958619228604,,,5.220277234943826,5.374087601381385,,-3.4185572479187143,
M5_Leverage_LCR_only,242,0.051584239453561165,7.0,,,,,,,,,-0.5590295999480867,,,,,,,,,,,,0.009773872917496984,,,,,,,,,,,,0.21459204828342518,,,,,,,,,,,,-2.6050806841162224,,,
C1_Leverage_COVID,376,0.03374710964604266,8.0,,,0.09759048478107411,0.0061895770759223786,,,,,,,-0.05052611310767231,,,,0.5960824938447224,0.7066073766003305,,,,,,,0.19517665967295672,,,,0.18395673112687785,0.016430576918190002,,,,,,,0.038932217332668946,,,,0.5305078220473728,0.376710879157871,,,,,,,-1.297796955049736,
