model,N,variable,R2_aux,tolerance,VIF
H1H2_baseline,510,roa_l1,0.0016450746686199613,0.99835492533138,1.0016477853986385
H1H2_baseline,510,size_l1,0.0015292709308952768,0.9984707290691047,1.0015316131824126
H1H2_baseline,510,dln_unitvar_l1,0.000660878508906948,0.999339121491093,1.000661315558147
H1H2_first_diff,509,droa_l1,0.013533669685035998,0.986466330314964,1.0137193427379472
H1H2_first_diff,509,dln_unitvar_l1,0.009570793875970818,0.9904292061240292,1.0096632791286773
H1H2_first_diff,509,dsize_l1,0.009400252970483525,0.9905997470295165,1.0094894562598786
H1H2_adl,510,size_l1,0.024083641732447814,0.9759163582675522,1.0246779772963341
H1H2_adl,510,dln_leverage_l1,0.02386392923643066,0.9761360707635693,1.0244473387995625
H1H2_adl,510,roa_l1,0.0021977190031057248,0.9978022809968943,1.0022025596102166
H1H2_adl,510,dln_unitvar_l1,0.0010722105576016494,0.9989277894423984,1.001073361427056
H1H2_group_fe,510,dln_unitvar_l1,0.31643654542829314,0.6835634545717069,1.4629219764631207
H1H2_group_fe,510,dln_unitvar_l1_x_custody,0.27724794195731817,0.7227520580426818,1.3836003493482205
H1H2_group_fe,510,dln_unitvar_l1_x_market,0.0850842780843305,0.9149157219156695,1.0929968477382586
H1H2_group_fe,510,size_l1,0.002956399981843383,0.9970436000181566,1.0029651661991408
H1H2_group_fe,510,roa_l1,0.0021358669090559834,0.997864133090944,1.0021404386010349
H1H2_group_diff,509,dln_unitvar_l1,0.32155124795321877,0.6784487520467812,1.4739506808482519
H1H2_group_diff,509,dln_unitvar_l1_x_custody,0.29016585850015675,0.7098341414998433,1.4087798001474698
H1H2_group_diff,509,dln_unitvar_l1_x_market,0.08450913107570468,0.9154908689242953,1.0923101845625214
H1H2_group_diff,509,dsize_l1,0.028201254886385474,0.9717987451136145,1.0290196453002092
H1H2_group_diff,509,droa_l1,0.01648370145089717,0.9835162985491028,1.0167599677557089
H3_lcr,280,dln_unitvar_l1,0.8366852390966192,0.16331476090338082,6.123145234812016
H3_lcr,280,dln_unitvar_l1_x_lcr,0.8364283985874199,0.1635716014125801,6.113530657914628
H3_lcr,280,size_l1,0.06160974041213918,0.9383902595878608,1.0656547100554923
H3_lcr,280,lcr_ratio_l1,0.057765282665799056,0.9422347173342009,1.061306680387696
H3_lcr,280,roa_l1,0.0229198643512597,0.9770801356487403,1.023457507235107
H3_cet1,348,dln_unitvar_l1_x_cet1,0.9863868211067289,0.013613178893271072,73.45822807737399
H3_cet1,348,dln_unitvar_l1,0.9863717223718751,0.013628277628124907,73.37684388937623
H3_cet1,348,cet1_ratio_l1,0.21465820861097828,0.7853417913890217,1.2733309381528208
H3_cet1,348,size_l1,0.1861433662036064,0.8138566337963936,1.2287176370797694
H3_cet1,348,roa_l1,0.08094663803464197,0.919053361965358,1.0880761024164483
H3_slr,335,dln_unitvar_l1_x_slr,0.9743515270062363,0.025648472993763716,38.98867586554351
H3_slr,335,dln_unitvar_l1,0.974340585990914,0.025659414009086,38.97205133546307
H3_slr,335,size_l1,0.03020170901344832,0.9697982909865517,1.031142258440902
H3_slr,335,roa_l1,0.01731777646549504,0.982682223534505,1.0176229670698698
H3_slr,335,slr_ratio_l1,0.0019950303334113073,0.9980049696665887,1.0019990184358278
